auctions,repetition,bidders,true_reserve,method,reserve_estimate,reserve_error,absolute_reserve_error,revenue_regret,max_bid_w1,latent_value_w1,validation_max_bid_w1,fold_reserve_sd,pooled_reserve,training_auctions,regularized_target,regularized_error,standard_error,ci_lower,ci_upper,covers_regularized_target,covers_exact_reserve,score_at_estimate,score_jacobian,score_roots_on_grid,fold_average_reference,orthogonal_correction,nuisance_cdf_error_at_target,nuisance_density_error_at_target,maxima_below_exact_reserve,maxima_below_regularized_target
500,18,5,0.7718567076821209,Empirical-local DML,0.8262650836283495,0.054408375946228604,,0.00016444200517717888,,,,,,,0.831833385726398,-0.005568302098048483,0.0324111873061924,0.7627391565082124,0.8897910107484865,1.0,1.0,-6.170607947218798e-06,-1.5686732892349986,1.0,,,-0.0017801140822305758,-0.010188181208643482,2.0,3.0
500,19,5,0.7718567076821209,Empirical-local DML,0.7751395160381503,0.003282808356029454,,4.2360963270482443e-07,,,,,,,0.831833385726398,-0.05669386968824763,0.027191527738553243,0.721844121670586,0.8284349104057147,0.0,1.0,-1.7881060241542457e-06,-1.45464895717877,1.0,,,0.0011077410146462501,0.02134187547149953,1.0,1.0
500,20,5,0.7718567076821209,Empirical-local DML,0.8019858968614505,0.030129189179329607,,4.297702691102856e-05,,,,,,,0.831833385726398,-0.02984748886494748,0.028136417172871447,0.7468385192026225,0.8571332745202785,1.0,1.0,-9.412446576851252e-06,-1.4616733756215576,1.0,,,-0.0022193193996739025,-0.00408681759399919,0.0,2.0
500,21,5,0.7718567076821209,Empirical-local DML,0.8159132169129734,0.04405650923085247,,0.00010081591340194151,,,,,,,0.831833385726398,-0.015920168813424618,0.03096511912315772,0.7552215834315842,0.8766048503943625,1.0,1.0,-6.769542450680177e-06,-1.1040205434487398,1.0,,,-0.0018073702384149206,-0.007497693423120774,0.0,1.0
500,22,5,0.7718567076821209,Empirical-local DML,0.8318425744108942,0.05998586672877326,,0.0002071247908810303,,,,,,,0.831833385726398,9.18868449617527e-06,0.03759093403986623,0.7581643436927563,0.905520805129032,1.0,1.0,-5.202822348679525e-06,-1.1314663154553675,1.0,,,0.009696573042525036,0.04459617370220119,4.0,7.0
500,23,5,0.7718567076821209,Empirical-local DML,0.8486348574870441,0.07677814980492326,,0.0003767127796630021,,,,,,,0.831833385726398,0.01680147176064617,0.0432991976055498,0.7637684301801665,0.9335012847939218,1.0,1.0,-1.7676784225299613e-05,-1.4387655849443604,1.0,,,-0.0006199742715966589,-0.005477718903944703,1.0,1.0
500,24,5,0.7718567076821209,Empirical-local DML,0.857041827853553,0.0851851201714321,,0.00048793052877749155,,,,,,,0.831833385726398,0.025208442127155006,0.0307124385988313,0.7968454481998436,0.9172382075072624,1.0,0.0,3.333471565511559e-06,-1.5250641344448679,1.0,,,-6.279171415468111e-05,-0.006028627157015895,3.0,4.0
500,25,5,0.7718567076821209,Empirical-local DML,0.8477770461385706,0.07592033845644974,,0.0003664145927220197,,,,,,,0.831833385726398,0.015943660412172656,0.03605639917486559,0.7771065037558341,0.9184475885213071,1.0,0.0,-1.9782053750262208e-05,-1.8999515052481173,1.0,,,0.00036938783554323236,0.00568935377294745,1.0,3.0
500,26,5,0.7718567076821209,Empirical-local DML,0.8229631745307332,0.05110646684861231,,0.0001420356390533506,,,,,,,0.831833385726398,-0.008870211195664779,0.026682558363322582,0.770665360138621,0.8752609889228454,1.0,1.0,-5.495164265369112e-06,-1.3714267434925067,1.0,,,-0.0014078776247289492,-0.005769469562736884,1.0,1.0
500,27,5,0.7718567076821209,Empirical-local DML,0.852759809698743,0.0809031020166221,,0.0004289034096609523,,,,,,,0.831833385726398,0.02092642397234501,0.03691020864847902,0.7804158007477241,0.9251038186497619,1.0,0.0,-1.0711920506494721e-05,-1.5444006149018896,1.0,,,-0.003791507009169484,-0.0264708685971176,1.0,1.0
