dgp,bidders,auctions,repetition,exact_reserve,regularized_target,population_root_count,dml_estimate,dml_target_error,dml_exact_error,standard_error,ci_lower,ci_upper,covers_regularized_target,covers_exact_reserve,sample_root_count,direct_estimate,direct_exact_error,maxima_below_exact_reserve
Mixture,5,2000,101,0.7580282496557116,0.8749741936852664,1,0.8517775932658588,-0.02319660041940763,0.0937493436101472,0.019374484033415747,0.8138036045603639,0.8897515819713536,True,False,1,0.8489065137775769,0.09087826412186528,2
Mixture,5,2000,102,0.7580282496557116,0.8749741936852664,1,0.8871009410436721,0.012126747358405687,0.12907269138796051,0.021720619434644435,0.844528526951769,0.9296733551355751,True,False,1,0.852697071788057,0.0946688221323454,2
Mixture,5,2000,103,0.7580282496557116,0.8749741936852664,1,0.8396902243670938,-0.03528396931817257,0.08166197471138226,0.01910195632415205,0.8022503899717558,0.8771300587624319,True,False,1,0.7754835356329729,0.017455285977261314,0
Mixture,5,2000,104,0.7580282496557116,0.8749741936852664,1,0.89748448056587,0.022510286880603636,0.13945623091015846,0.02548893716087809,0.847526163730549,0.9474427974011911,True,False,1,0.7650911762010725,0.0070629265453608925,1
Mixture,5,2000,105,0.7580282496557116,0.8749741936852664,1,0.9030133874079487,0.028039193722682265,0.1449851377522371,0.02724876006555556,0.8496058176794598,0.9564209571364376,True,False,1,0.7251377801871348,-0.032890469468576766,2
Mixture,5,2000,106,0.7580282496557116,0.8749741936852664,1,0.9241122784077729,0.04913808472250647,0.1660840287520613,0.02227460363372066,0.8804540552856804,0.9677705015298653,False,False,1,0.9568602540813408,0.1988320044256292,4
Mixture,5,2000,107,0.7580282496557116,0.8749741936852664,1,0.9176109559253509,0.0426367622400845,0.15958270626963933,0.022902623076985325,0.8727218146944596,0.9625000971562422,True,False,1,0.8652012240956092,0.1071729744398976,2
Mixture,5,2000,108,0.7580282496557116,0.8749741936852664,1,0.856547631016055,-0.018426562669211388,0.09851938136034344,0.019993602735862454,0.8173601696537646,0.8957350923783455,True,False,1,0.7585151524623633,0.00048690280665175667,0
Mixture,5,2000,109,0.7580282496557116,0.8749741936852664,1,0.8928610180838873,0.017886824398620882,0.1348327684281757,0.02118530071445923,0.8513378286835472,0.9343842074842273,True,False,1,0.7643135393850671,0.006285289729355492,0
Mixture,5,2000,110,0.7580282496557116,0.8749741936852664,1,0.8713957779825333,-0.0035784157027330954,0.11336752832682173,0.022075429051005357,0.8281279370425628,0.9146636189225038,True,False,1,0.798400002971994,0.0403717533162824,1
Mixture,5,2000,111,0.7580282496557116,0.8749741936852664,1,0.867328230134492,-0.007645963550774404,0.10929998047878042,0.022977271864076245,0.8222927772809026,0.9123636829880815,True,False,1,0.7419890026631116,-0.016039246992599954,2
Mixture,5,2000,112,0.7580282496557116,0.8749741936852664,1,0.9072155092061397,0.03224131552087328,0.1491872595504281,0.022242797222880518,0.8636196266492939,0.9508113917629855,True,False,1,0.7406693992548472,-0.01735885040086438,4
Mixture,5,2000,113,0.7580282496557116,0.8749741936852664,1,0.8602286798916768,-0.01474551379358957,0.10220043023596526,0.022590716157981736,0.8159508762220327,0.904506483561321,True,False,1,0.806535624371281,0.04850737471556943,1
Mixture,5,2000,114,0.7580282496557116,0.8749741936852664,1,0.8461568145874658,-0.028817379097800577,0.08812856493175425,0.019940775683978167,0.8070728942468687,0.885240734928063,True,False,1,0.8597764167696756,0.10174816711396406,2
Mixture,5,2000,115,0.7580282496557116,0.8749741936852664,1,0.8839120236701202,0.008937829984853818,0.12588377401440864,0.021154993785782648,0.8424482358499863,0.9253758114902542,True,False,1,0.7578485383554188,-0.00017971130029281746,1
Mixture,5,2000,116,0.7580282496557116,0.8749741936852664,1,0.8733276251767811,-0.0016465685084853243,0.1152993755210695,0.021014705268405435,0.8321388028507064,0.9145164475028558,True,False,1,0.7539552871791483,-0.004072962476563302,1
Mixture,5,2000,117,0.7580282496557116,0.8749741936852664,1,0.857333456393591,-0.017640737291675368,0.09930520673787946,0.02090154070840936,0.8163664366051087,0.8983004761820734,True,False,1,0.8686318331647139,0.11060358350900235,3
Mixture,5,2000,118,0.7580282496557116,0.8749741936852664,1,0.9153608570281171,0.04038666334285068,0.1573326073724055,0.022790986506860688,0.8706905234746701,0.960031190581564,True,False,1,0.8144764472998397,0.05644819764412812,2
Mixture,5,2000,119,0.7580282496557116,0.8749741936852664,1,0.8703173743849292,-0.004656819300337234,0.1122891247292176,0.022213032216656305,0.8267798312402829,0.9138549175295755,True,False,1,0.8459041171884254,0.08787586753271381,3
Mixture,5,2000,120,0.7580282496557116,0.8749741936852664,1,0.863257491444082,-0.011716702241184374,0.10522924178837045,0.020538709523313874,0.8230016207783868,0.9035133621097773,True,False,1,0.8737220178941184,0.11569376823840682,1
Mixture,5,2000,121,0.7580282496557116,0.8749741936852664,1,0.9010870836771662,0.026112889991899757,0.14305883402145458,0.023744854338404394,0.8545471691738935,0.9476269981804388,True,False,1,0.8624307974650371,0.10440254780932556,2
Mixture,5,2000,122,0.7580282496557116,0.8749741936852664,1,0.9082273564558944,0.03325316277062795,0.15019910680018278,0.027229491920108293,0.8548575522924821,0.9615971606193067,True,False,1,0.8822786962866527,0.12425044663094109,2
Mixture,5,2000,123,0.7580282496557116,0.8749741936852664,1,0.9275968327945714,0.05262263910930498,0.1695685831388598,0.02624884166526976,0.8761491031306426,0.9790445624585001,False,False,1,0.7690332580663678,0.011005008410656214,3
